,AssetName,AssetCode,InvestmentStrategy,AcquisitionType,AcquisitionDate,SaleDate,IsTaxCredit,ActualStabilizationDate,AreaType,AssetClass,AssetStyle,StabilizationStatus,OccupancyStabilizationDate,CortosMSAID,CortosSubMarketID,CoStarSubMarketID,CBSAID,oslPropertyID,oslSubPropertyID,AverageBuildYear,YearBuiltEnd,YearRenovated,CurrentUnitCount,RentableSquareFoot,ConstructionBeginDate,ConstructionEndDate,Acreage,AcquisitionPrice,TotalHardCosts,TotalSoftAndClosingCosts,TotalProjectCosts,IsSeniorHousing,IsUnitReno,IsRecapitalization,ZipCode,Latitude,Longitude,WebAddress,EmailAddress,osaEntityID,Phone,Address1,PlannedUnitCount,LegalName,TaxID,Portfolio,City,StateCode,ParentAssetName
14,Paseo at Bee Cave,pasbc78738,Value-Add,Acquisition,2017-07-28 00:00:00.0000000,,False,2018-12-29 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2018-12-29 00:00:00.0000000,12420.0,7.0,7565.0,12420.0,4216874.0,645.0,2007.0,2007.0,,293.0,278583.0,,2018-06-30 00:00:00.0000000,,48500000.0,4774135.0,1827439.0,55101574.0,False,True,False,78738-6640,30.30198,-97.933019,www.liveatpaseoatbeecave.com,paseobeecave@cortland.com,paseo,(512) 877-9642,12531 Highway 71,,WSH 71 TX Partners LLC,82-1903208,Stand-alone,Bee Cave,TX,Paseo at Bee Cave
15,Vistas at Hackberry Creek,vishccbre75063,Value-Add,Acquisition,2021-06-11 00:00:00.0000000,,False,2019-10-27 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2019-10-27 00:00:00.0000000,19124.0,17.0,7527.0,19100.0,4559240.0,1512.0,1984.0,1984.0,,560.0,435208.0,,,24.56,88000000.0,2487914.352,1325793.11469494,91813707.46669489,False,True,False,75063-3308,32.905354,-96.982512,https://cortland.com/apartments/vistas-at-hackberr,vistasathackberrycreek@cortland.com,hackberrycbre,(972) 734-1839,2527 W Royal Ln,,VISTAS HACKBERRY CREEK LLC,46-2696032,Portfolio 22,Irving,TX,Vistas at Hackberry Creek
16,Cortland on Blake,balof80205,Value-Add,Acquisition,2021-08-24 00:00:00.0000000,,False,2021-09-23 00:00:00.0000000,Urban,B,Mid-Rise,Stabilized,2021-09-23 00:00:00.0000000,19740.0,2.0,7790.0,19740.0,4840647.0,1592.0,2003.0,2003.0,,354.0,308868.0,,,,132618100.0,5370543.76093944,1066706.93,139055350.690939,False,True,False,80205-2104,39.757793,-104.988955,cortland.com/blake,blake@cortland.com,ballpark,(720) 730-8331,1451 24th St,,"1451 24th CO Partners, LLC",81-0760687,CGI,Denver,CO,Cortland on Blake
17,Cortland South End,corse28203,Core-plus,Acquisition,2023-09-12 00:00:00.0000000,,False,,,A,Mid-rise,Non-Stabilized,,16740.0,1.0,9099.0,16740.0,5209198.0,1970.0,2009.0,2009.0,,331.0,300360.0,,,,104000000.0,16428040.0,3389962.0,123818003.0,False,False,False,28203-5586,35.208588,-80.864298,cortland.com/south-end,southend@cortland.com,southend,(704) 332-5022,2225 Hawkins St,331.0,"Hawkins Street NC Partners, LP",93-2397632,Stand-alone,Charlotte,NC,Cortland South End
18,Cortland at the Village - Phase 2,villp2oef30080,Core-Plus,Acquisition,2019-03-18 00:00:00.0000000,,False,,Suburban,B,Garden-Style,Non-Stabilized,,12060.0,23.0,6713.0,12060.0,3362715.0,1180.0,1984.0,1984.0,,241.0,230010.0,,,15.031,40358621.0,163011.447758336,349108.16996781,40870740.307381295,False,True,True,30080-7698,33.891263,-84.488566,www.cortland.com/village,villagersdistro@cortland.com,village2oef,(770) 343-3358,2085 Lake Park Dr SE,,,,CGI,Smyrna,GA,Cortland at the Village
19,Cortland Galleria,5thous75244,Value-Add,Acquisition,2017-07-31 00:00:00.0000000,,False,2019-05-24 00:00:00.0000000,Infill,B,Garden-Style,Stabilized,2019-05-24 00:00:00.0000000,19124.0,19.0,7515.0,19100.0,4216870.0,644.0,2008.0,2008.0,,333.0,290755.0,,,,57000000.0,7724109.0,1913173.0,66637282.0,False,True,False,75244-5331,32.929797,-96.823809,cortland.com/galleria,galleria@cortland.com,broadstone,(972) 818-5803,5005 Galleria,,Galleria TX Partners LLC,82-1956572,Stand-alone,Farmers Branch,TX,Cortland Galleria
20,Cortland Satori - Phase 2,cosaoef233782,Core-plus,Acquisition,2022-06-28 00:00:00.0000000,,False,2022-11-24 00:00:00.0000000,Suburban,A,Garden-style,Stabilized,2022-11-24 00:00:00.0000000,45300.0,11.0,7909.0,45300.0,4910056.0,1831.0,2020.0,2020.0,,171.0,168737.0,2021-04-30 00:00:00.0000000,2022-09-30 00:00:00.0000000,,44434000.0,392450.0,582116.0,44408566.0,False,False,False,33782-6151,27.849372,-82.678378,cortland.com/satori,Satori@cortland.com,satorioef,(727) 306-2785,3110 Grand Ave,,DD Gandy 12.98 LLC,83-2495528,CGI,Pinellas Park,FL,Cortland Satori
21,Cortland North Dallas,garvbre75287,Core-Plus,Acquisition,2020-02-28 00:00:00.0000000,,False,2020-02-08 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2020-02-08 00:00:00.0000000,19124.0,20.0,7515.0,19100.0,4087081.0,1359.0,2001.0,2001.0,,582.0,390553.0,,,18.5,71494268.0,,,,False,True,True,75287-6460,32.991641,-96.848112,cortland.com/north-dallas,northdallas@cortland.com,gardensbre,(469) 414-0886,17811 Vail St,,,84-4601448,Acorn 1,Dallas,TX,Cortland North Dallas
22,Cortland North Brookhaven,exchnhyld30341,Core-Plus,Acquisition,2018-11-15 00:00:00.0000000,,False,2014-12-22 00:00:00.0000000,Infill,A,Garden-Style,Stabilized,2014-12-22 00:00:00.0000000,12060.0,10.0,6727.0,12060.0,2946884.0,1080.0,2001.0,2001.0,,411.0,432123.0,,,13.3,93000000.0,175000.0,1598809.32999686,94773809.3299969,False,False,True,30341-2637,33.887332,-84.316409,http://www.cortland.com/north-brookhaven,northbrookhaven@cortland.com,exchangenhroundhill,(404) 531-2188,2432 Johnson Ferry Rd NE,,,,Yieldco II,Chamblee,GA,Cortland North Brookhaven
23,Cortland Ridglea - Phase 1,ridvoef76116,Core-Plus,Acquisition,2018-12-14 00:00:00.0000000,,False,2021-01-14 00:00:00.0000000,Infill,A,Garden-Style,Stabilized,2021-01-14 00:00:00.0000000,23104.0,5.0,7508.0,19100.0,4734633.0,1102.0,2004.0,2004.0,2015.0,253.0,266626.0,,,9.03,36100000.0,423965.0,432572.996860392,36956537.9968604,False,True,True,76116-5826,32.726081,-97.414414,cortland.com/ridglea,ridglea@cortland.com,ridgleaoef,(817) 835-9197,3601 Westridge Ave,,,,CGI,Fort Worth,TX,Cortland Ridglea
24,Cortland Independence,corci34787,Value-Add,Acquisition,2021-12-01 00:00:00.0000000,,False,,Suburban,B,Garden-Style,Non-Stabilized,,36740.0,14.0,7504.0,36740.0,4899099.0,1658.0,2008.0,2008.0,,379.0,425178.0,,,,116800000.0,17283786.0,2832983.0,136916769.0,False,False,False,34787-8718,28.462533,-81.60319,cortland.com/independence,Independence@cortland.com,independence,(407) 519-3567,14600 Avenue Of The Grvs,,"Avenue of Groves FL Paterns, LLC (DE)",85-2361889,Stand-alone,Winter Garden,FL,Cortland Independence
25,Cortland Uptown Altamonte,coruptala32701,Value-add,Acquisition,2022-07-26 00:00:00.0000000,,False,,Suburban,A,High-rise,Non-Stabilized,,36740.0,7.0,7499.0,36740.0,5000424.0,1879.0,2007.0,2007.0,,324.0,361563.0,,,,114696000.0,14157668.0,6091968.0,134945636.0,False,True,False,32701-3492,28.665842,-81.382859,cortland.com/uptown-altamonte,uptownaltamonte@cortland.com,altamonte,(407) 606-7730,285 Uptown Blvd,324.0,Uptown Blvd FL Partners LLC,85-2361889,Stand-alone,Altamonte Springs,FL,Cortland Uptown Altamonte
26,Cortland Woodlands,corw30067,Value-add,Acquisition,2024-11-20 00:00:00.0000000,,False,2024-12-20 00:00:00.0000000,Suburban,B,Garden-style,Stabilized,2024-12-20 00:00:00.0000000,12060.0,25.0,6713.0,12060.0,5409845.0,2190.0,1983.0,1983.0,,484.0,585235.0,,,,95750000.0,,,,False,False,False,30067-5352,33.922212,-84.47235,www.cortland.com/woodlands,woodlands@cortland.com,woodlands,(470) 912-1634,2850 Delk Rd SE,484.0,"Delk Road GA Partners, LLC",33-1497368,Stand-alone,Marietta,GA,Cortland Woodlands
27,Cortland Alameda Station - Phase 1,coralamst180223,Value-add,Acquisition,2022-06-28 00:00:00.0000000,,False,2022-07-28 00:00:00.0000000,Urban,A,Mid-rise,Stabilized,2022-07-28 00:00:00.0000000,19740.0,3.0,7790.0,19740.0,4988090.0,1859.0,2015.0,2015.0,,275.0,190183.0,,,,128300000.0,1533125.0,1364367.0,131197492.0,False,True,False,80223-2139,39.710118,-104.992432,cortland.com/alameda-station,alamedastation@cortland.com,alamedastation,(720) 796-4142,415 S Cherokee St Ste 125,275.0,Cherokee CO Partners LLC,61-1870995,CGI,Denver,CO,Cortland Alameda Station
28,Cortland Farmers Market,attfm75201,Opportunistic,Development,2018-01-31 00:00:00.0000000,,False,2023-06-07 00:00:00.0000000,,,,Stabilized,2023-06-07 00:00:00.0000000,19124.0,1.0,7509.0,19100.0,4593129.0,1412.0,,,,220.0,200134.0,,2020-11-27 00:00:00.0000000,,4724379.78,40685000.0,8198994.235305981,53608374.015306,True,True,False,75201,32.777057,-96.790672,cortland.com/farmers-market,farmersmarketapts@cortland.com,attivafarmersmkt,(972) 962-9097,1011 HARWOOD ST,220.0,,,Stand-alone,DALLAS,TX,Cortland Farmers Market
29,Cortland Park 83,parbre2830076,Core-Plus,Acquisition,2021-05-20 00:00:00.0000000,,False,2024-10-09 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2024-10-09 00:00:00.0000000,12060.0,29.0,6729.0,12060.0,2691034.0,1526.0,1992.5,1996.0,,664.0,683160.0,,,,148000000.0,17928687.408808,1301549.92485313,167230237.333661,False,True,True,30076-4500,34.013882,-84.302223,cortland.com/park-83,Park83@cortland.com,park83bre,(770) 343-4309,100 Calibre Creek Pkwy,,,86-3509372,Acorn 2,Roswell,GA,Cortland Park 83
30,Winthrop West,corww33578,Value-add,Acquisition,2022-05-19 00:00:00.0000000,,False,2022-07-10 00:00:00.0000000,Suburban,B,Garden-style,Stabilized,2022-07-10 00:00:00.0000000,45300.0,9.0,7923.0,45300.0,4971418.0,1818.0,1990.0,1990.0,,204.0,205672.0,,,,,,,,False,True,False,33578-3922,27.890045,-82.319796,cortland.com/winthrop-west,winthropwest@cortland.com,winthropwest,(813) 303-1049,6218 Watermark Dr,204.0,RRE Kensington Holdings LLC,81-3506451,3rd Party Management,Riverview,FL,Winthrop West
31,The Overlook at Daytona,oveda32118,Value-Add,Acquisition,2021-08-24 00:00:00.0000000,,False,,Suburban,B,Mid-Rise,Non-Stabilized,,19660.0,1.0,8559.0,19660.0,4840727.0,1583.0,1961.0,1961.0,,227.0,182027.0,,,,44407859.0,559778.81925,963219.608975817,45930857.4282258,False,True,False,32118-4057,29.232975,-81.018807,cortland.com/overlook-daytona,overlookdaytona@cortland.com,daytona,(386) 866-3649,100 Seabreeze Blvd,,"Daytona Seabreeze, LLC (DE) ",85-2361889 ,Stand-alone,Daytona Beach,FL,The Overlook at Daytona
32,Cortland Prairie Creek,praircv75080,Value-Add,Acquisition,2019-09-27 00:00:00.0000000,,False,2022-09-03 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2022-09-03 00:00:00.0000000,19124.0,21.0,7538.0,19100.0,4559215.0,1241.0,1997.0,1997.0,,464.0,464082.0,,,38.57,89546066.02195908,13775700.3790427,1052290.42935044,104374056.830352,False,True,False,75080-1100,33.000673,-96.716195,cortland.com/prairie-creek,prairiecreek@cortland.com,prairiecreek,(972) 503-4339,3560 - 3600 ALMA RD,,PRAIRIE CREEK APTS LLC,45-5519669,Portfolio 22,RICHARDSON,TX,Cortland Prairie Creek
33,Cortland River North - Phase 1,corrn160654,Core-plus,Acquisition,2022-06-28 00:00:00.0000000,,False,2022-12-19 00:00:00.0000000,Urban,A,High-rise,Stabilized,2022-12-19 00:00:00.0000000,16980.0,2.0,6791.0,16980.0,4988127.0,1853.0,2015.0,2015.0,,188.0,167450.0,,,,102303631.0,1468550.0,980215.0,109752396.0,False,False,False,60654-4631,41.89168,-87.634911,cortland.com/river-north,rivernorth@cortland.com,rivernorth,(312) 874-5165,220 W Illinois St,189.0,W Illinois IL Partners LLC,83-2495528,CGI,Chicago,IL,Cortland River North
34,Park West Family,avpf30318,Opportunistic,Development,2008-03-01 00:00:00.0000000,,True,2012-07-01 00:00:00.0000000,Infill,B,Garden-Style,Stabilized,2012-07-01 00:00:00.0000000,12060.0,6.0,6751.0,12060.0,2690919.0,11.0,2009.0,2009.0,,175.0,175030.0,,2012-04-30 00:00:00.0000000,12.15,2250000.0,0.0,75243.5579,2325243.5579,False,False,False,30318-6071,33.776686,-84.478224,www.cortland.com/park-west,parkwest@cortland.com,avaprkf,(404) 799-3131,2798 Peek Rd NW,,"Provenance at Hollowell Family, LP",34-2043137,Stand-alone,Atlanta,GA,Park West Family
35,Cortland Walker Ranch,parwa78216,Core-Plus,Acquisition,2019-09-27 00:00:00.0000000,,False,2019-12-02 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2019-12-02 00:00:00.0000000,41700.0,8.0,7583.0,41700.0,4559212.0,1240.0,2014.0,2014.0,,360.0,323255.0,,,29.62,58505596.6749642,2311866.23015,401358.02923379093,61218820.934348,False,True,False,78216-1813,29.560538,-98.496053,www.cortland.com/walker-ranch,WalkerRanch@cortland.com,walkerranch,(210) 817-5207,12803 West Ave,,PURE PW APTS LLC,47-3810840,Portfolio 22,San Antonio,TX,Cortland Walker Ranch
36,Cortland Las Casas,corlc85718,Value-Add,Acquisition,2021-12-29 00:00:00.0000000,,False,2024-05-11 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2024-05-11 00:00:00.0000000,46060.0,7.0,8814.0,46060.0,4909321.0,1693.0,2003.0,2003.0,,754.0,743190.0,,,,245000000.0,39988616.0,3309657.0,288298274.0,False,False,False,85718-6419,32.291726,-110.943141,cortland.com/las-casas,lascasas@cortland.com,lascasas,(520) 391-6765,4647 N Campbell Ave,,Campbell AZ Partners LLC,83-2495528,CGI,Tucson,AZ,Cortland Las Casas
37,Cortland Bowery,bowbbre233616,Core-Plus,Acquisition,2021-07-01 00:00:00.0000000,,False,2017-08-04 00:00:00.0000000,Infill,B,Garden-Style,Stabilized,2017-08-04 00:00:00.0000000,45300.0,2.0,7922.0,45300.0,3519497.0,1546.0,1987.5,1989.0,,608.0,462225.0,,,,136942091.053793,2325800.0,1312233.90491183,140580124.958705,False,False,True,33616-1334,27.876888,-82.52799,www.bowerybaysidetampa.com,bowery@cortland.com,bowerybre,(813) 734-8723,6301 S Westshore Blvd,,,86-3509372,Acorn 2,Tampa,FL,Cortland Bowery
38,Cortland Olde Raleigh,cororTL27612,Value-Add,Acquisition,2021-08-20 00:00:00.0000000,,False,2023-12-16 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2023-12-16 00:00:00.0000000,239580.0,2.0,7346.0,39580.0,4749856.0,1607.0,1995.0,1995.0,,228.0,230988.0,2021-03-31 00:00:00.0000000,2022-11-30 00:00:00.0000000,,42829056.6037736,7793307.99663455,1824659.72899818,52447024.3294063,False,True,False,27612-2415,35.835145,-78.713034,cortland.com/olde-raleigh,OldeRaleigh@cortland.com,olderaleightl,(919) 351-6508,4000 Grand Manor Ct,,Grand Manor NC Partners LP,85-2361889,Torch Light,Raleigh,NC,Cortland Olde Raleigh
39,Cortland Peachtree Battle,corpb30305,Value-add,Acquisition,2024-08-20 00:00:00.0000000,,False,,Urban,A,High-rise,Non-Stabilized,,12060.0,7.0,6709.0,12060.0,5383437.0,2161.0,2015.0,2015.0,,186.0,167586.0,,,,50000000.0,6484304.0,2925902.0,59410206.0,False,False,False,30305-4167,33.820899,-84.388878,cortland.com/peachtree-battle,peachtreebattledistro@cortland.com,ptbattle,(770) 697-0276,2420 Peachtree Rd NW,186.0,"Peachtree Road GA Partners, LLC",99-4355024,Stand-alone,Atlanta,GA,Cortland Peachtree Battle
40,Cortland Covington Ridge,covri80233,Value-Add,Acquisition,2021-08-24 00:00:00.0000000,,False,2024-02-12 00:00:00.0000000,Suburban,C,Garden-Style,Stabilized,2024-02-12 00:00:00.0000000,19740.0,9.0,7802.0,19740.0,4840653.0,1584.0,1997.0,1997.0,,216.0,208445.0,,,,69149895.0,9264476.17335885,1705857.64,80120228.8133588,False,True,False,80233-3970,39.889168,-104.940851,cortland.com/covington-ridge,covingtonridge@cortland.com,covingtonridge,(303) 255-2227,10571 Colorado Blvd,,"Covington Ridge, L.P",85-2361889,Port 24 - CBRE,Thornton,CO,Cortland Covington Ridge
41,Heights of Benbrook,hofbb76126,Value-add,Acquisition,2023-10-24 00:00:00.0000000,,False,,Suburban,B,Garden-style,Non-Stabilized,,23104.0,5.0,7508.0,19100.0,5205352.0,1975.0,1995.5,2005.0,,322.0,268581.0,,,,48750000.0,8751719.0,1079932.0,58581652.0,False,True,False,76126-3146,32.673834,-97.473255,cortland.com/heights-of-benbrook,heightsofbenbrook@cortland.com,benbrook,(817) 587-4621,9510 Westpark Dr,322.0,"Westpark Drive TX Partners, LLC",93-2069810,Stand-alone,Benbrook,TX,Heights of Benbrook
42,Cortland Windward,corwi30004,Value-Add,Acquisition,2021-01-07 00:00:00.0000000,,False,2022-12-27 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2022-12-27 00:00:00.0000000,12060.0,30.0,6729.0,12060.0,4740089.0,1463.0,1987.0,1987.0,,294.0,285000.0,2021-02-28 00:00:00.0000000,2022-07-31 00:00:00.0000000,,61000000.0,13998353.852325,1796127.96840472,76794481.8207297,False,True,False,30004-3877,34.083013,-84.279749,cortland.com/windward,Windward@cortland.com,windward,(770) 821-1937,905 Lake Union Hill Way,,Lake Union GA Partners LLC (DE),85-2361889,Stand-alone,Alpharetta,GA,Cortland Windward
